TABLE,FIELD,TYPE,NULL,KEY,DEFAULT,EXTRA
CLS_ARSP,CLASS_C_AIRSPACE,varchar(1),YES,,,
CLS_ARSP,CLASS_D_AIRSPACE,varchar(1),YES,,,
CLS_ARSP,CLASS_E_AIRSPACE,varchar(1),YES,,,
CLS_ARSP,AIRSPACE_HRS,varchar(300),YES,,,
CLS_ARSP,REMARK,varchar(1500),YES,,,
COM,EFF_DATE,varchar(10),NO,,,
COM,COMM_LOC_ID,varchar(6),YES,,,
COM,COMM_TYPE,varchar(5),NO,,,
COM,NAV_ID,varchar(4),YES,,,
COM,NAV_TYPE,varchar(25),YES,,,
COM,CITY,varchar(40),YES,,,
COM,STATE_CODE,varchar(2),YES,,,
COM,REGION_CODE,varchar(3),YES,,,
COM,COUNTRY_CODE,varchar(2),NO,,,
COM,COMM_OUTLET_NAME,varchar(30),NO,,,
COM,LAT_DEG,int(2),NO,,,
COM,LAT_MIN,int(2),NO,,,
COM,LAT_SEC,decimal(6,4),NO,,,
COM,LAT_HEMIS,varchar(1),NO,,,
COM,LAT_DECIMAL,decimal(10,8),NO,,,
COM,LONG_DEG,int(3),NO,,,
COM,LONG_MIN,int(2),NO,,,
COM,LONG_SEC,decimal(6,4),NO,,,
COM,LONG_HEMIS,varchar(1),NO,,,
COM,LONG_DECIMAL,decimal(11,8),NO,,,
COM,FACILITY_ID,varchar(4),NO,,,
COM,FACILITY_NAME,varchar(30),NO,,,
COM,ALT_FSS_ID,varchar(4),YES,,,
COM,ALT_FSS_NAME,varchar(30),YES,,,
COM,OPR_HRS,varchar(65),YES,,,
COM,COMM_STATUS_CODE,varchar(1),YES,,,
COM,COMM_STATUS_DATE,varchar(10),YES,,,
COM,REMARK,varchar(1500),YES,,,
DP_APT,EFF_DATE,varchar(10),NO,,,
DP_APT,DP_NAME,varchar(30),NO,,,
DP_APT,ARTCC,varchar(12),YES,,,
DP_APT,DP_COMPUTER_CODE,varchar(12),NO,,,
DP_APT,BODY_NAME,varchar(110),NO,,,
DP_APT,BODY_SEQ,int(1),NO,,,
DP_APT,ARPT_ID,varchar(4),NO,,,
DP_APT,RWY_END_ID,varchar(3),YES,,,
DP_BASE,EFF_DATE,varchar(10),NO,,,
DP_BASE,DP_NAME,varchar(30),NO,,,
DP_BASE,AMENDMENT_NO,varchar(5),NO,,,
DP_BASE,ARTCC,varchar(12),YES,,,
DP_BASE,DP_AMEND_EFF_DATE,varchar(10),NO,,,
DP_BASE,RNAV_FLAG,varchar(1),NO,,,
DP_BASE,DP_COMPUTER_CODE,varchar(12),NO,,,
DP_BASE,GRAPHICAL_DP_TYPE,varchar(9),NO,,,
DP_BASE,SERVED_ARPT,varchar(200),NO,,,
DP_RTE,EFF_DATE,varchar(10),NO,,,
DP_RTE,DP_NAME,varchar(30),NO,,,
DP_RTE,ARTCC,varchar(12),YES,,,
DP_RTE,DP_COMPUTER_CODE,varchar(12),NO,,,
DP_RTE,ROUTE_PORTION_TYPE,varchar(10),NO,,,
DP_RTE,ROUTE_NAME,varchar(110),NO,,,
DP_RTE,BODY_SEQ,int(1),NO,,,
DP_RTE,TRANSITION_COMPUTER_CODE,varchar(20),YES,,,
DP_RTE,POINT_SEQ,int(3),NO,,,
DP_RTE,POINT,varchar(10),NO,,,
DP_RTE,ICAO_REGION_CODE,varchar(2),YES,,,
DP_RTE,POINT_TYPE,varchar(25),NO,,,
DP_RTE,NEXT_POINT,varchar(10),YES,,,
DP_RTE,ARPT_RWY_ASSOC,varchar(200),YES,,,
FIX_BASE,EFF_DATE,varchar(10),NO,,,
FIX_BASE,FIX_ID,varchar(30),NO,,,
FIX_BASE,ICAO_REGION_CODE,varchar(2),NO,,,
FIX_BASE,STATE_CODE,varchar(2),YES,,,
FIX_BASE,COUNTRY_CODE,varchar(2),NO,,,
FIX_BASE,LAT_DEG,int(2),NO,,,
FIX_BASE,LAT_MIN,int(2),NO,,,
FIX_BASE,LAT_SEC,decimal(6,4),NO,,,
FIX_BASE,LAT_HEMIS,varchar(1),NO,,,
FIX_BASE,LAT_DECIMAL,decimal(10,8),NO,,,
FIX_BASE,LONG_DEG,int(3),NO,,,
FIX_BASE,LONG_MIN,int(2),NO,,,
FIX_BASE,LONG_SEC,decimal(6,4),NO,,,
FIX_BASE,LONG_HEMIS,varchar(1),NO,,,
FIX_BASE,LONG_DECIMAL,decimal(11,8),NO,,,
FIX_BASE,FIX_ID_OLD,varchar(30),YES,,,
FIX_BASE,CHARTING_REMARK,varchar(38),YES,,,
FIX_BASE,FIX_USE_CODE,varchar(5),NO,,,
FIX_BASE,ARTCC_ID_HIGH,varchar(4),YES,,,
FIX_BASE,ARTCC_ID_LOW,varchar(4),NO,,,
FIX_BASE,PITCH_FLAG,varchar(1),NO,,,
FIX_BASE,CATCH_FLAG,varchar(1),NO,,,
FIX_BASE,SUA_ATCAA_FLAG,varchar(1),NO,,,
FIX_BASE,MIN_RECEP_ALT,int(5),YES,,,
FIX_BASE,COMPULSORY,varchar(8),YES,,,
FIX_BASE,CHARTS,varchar(600),YES,,,
FIX_CHRT,EFF_DATE,varchar(10),NO,,,
FIX_CHRT,FIX_ID,varchar(30),NO,,,
FIX_CHRT,ICAO_REGION_CODE,varchar(2),NO,,,
FIX_CHRT,STATE_CODE,varchar(2),YES,,,
FIX_CHRT,COUNTRY_CODE,varchar(2),NO,,,
FIX_CHRT,CHARTING_TYPE_DESC,varchar(22),NO,,,
FIX_NAV,EFF_DATE,varchar(10),NO,,,
FIX_NAV,FIX_ID,varchar(30),NO,,,
FIX_NAV,ICAO_REGION_CODE,varchar(2),NO,,,
FIX_NAV,STATE_CODE,varchar(2),YES,,,
FIX_NAV,COUNTRY_CODE,varchar(2),NO,,,
FIX_NAV,NAV_ID,varchar(6),NO,,,
FIX_NAV,NAV_TYPE,varchar(25),NO,,,
FIX_NAV,BEARING,decimal(5,2),YES,,,
FIX_NAV,DISTANCE,decimal(7,2),YES,,,
FRQ,EFF_DATE,varchar(10),NO,,,
FRQ,FACILITY,varchar(30),YES,,,
FRQ,FAC_NAME,varchar(50),YES,,,
FRQ,FACILITY_TYPE,varchar(12),NO,,,
FRQ,ARTCC_OR_FSS_ID,varchar(4),YES,,,
FRQ,CPDLC,varchar(100),YES,,,
FRQ,TOWER_HRS,varchar(200),YES,,,
FRQ,SERVICED_FACILITY,varchar(30),NO,,,
FRQ,SERVICED_FAC_NAME,varchar(50),YES,,,
FRQ,SERVICED_SITE_TYPE,varchar(1),YES,,,
FRQ,LAT_DECIMAL,decimal(10,8),NO,,,
FRQ,LONG_DECIMAL,decimal(11,8),NO,,,
FRQ,SERVICED_CITY,varchar(40),YES,,,
FRQ,SERVICED_STATE,varchar(2),YES,,,
FRQ,SERVICED_COUNTRY,varchar(2),YES,,,
FRQ,TOWER_OR_COMM_CALL,varchar(26),YES,,,
FRQ,PRIMARY_APPROACH_RADIO_CALL,varchar(26),YES,,,
FRQ,FREQ,varchar(40),YES,,,
FRQ,SECTORIZATION,varchar(50),YES,,,
FRQ,FREQ_USE,varchar(600),YES,,,
FRQ,REMARK,varchar(1500),YES,,,
FSS_RMK,CITY,varchar(40),NO,,,
HPF_BASE,EFF_DATE,varchar(10),NO,,,
HPF_BASE,HP_NAME,varchar(80),NO,,,
HPF_BASE,HP_NO,int(3),NO,,,
HPF_BASE,STATE_CODE,varchar(2),YES,,,
HPF_BASE,COUNTRY_CODE,varchar(2),NO,,,
HPF_BASE,FIX_ID,varchar(30),YES,,,
HPF_BASE,ICAO_REGION_CODE,varchar(2),YES,,,
HPF_BASE,NAV_ID,varchar(6),YES,,,
HPF_BASE,NAV_TYPE,varchar(25),YES,,,
HPF_BASE,HOLD_DIRECTION,varchar(3),YES,,,
HPF_BASE,HOLD_DEG_OR_CRS,varchar(3),YES,,,
HPF_BASE,AZIMUTH,varchar(4),NO,,,
HPF_BASE,COURSE_INBOUND_DEG,int(3),YES,,,
HPF_BASE,TURN_DIRECTION,varchar(3),NO,,,
HPF_BASE,LEG_LENGTH_DIST,int(2),YES,,,
HPF_CHRT,EFF_DATE,varchar(10),NO,,,
HPF_CHRT,HP_NAME,varchar(80),NO,,,
HPF_CHRT,HP_NO,int(3),NO,,,
HPF_CHRT,STATE_CODE,varchar(2),YES,,,
HPF_CHRT,COUNTRY_CODE,varchar(2),NO,,,
HPF_CHRT,CHARTING_TYPE_DESC,varchar(22),NO,,,
HPF_RMK,EFF_DATE,varchar(10),NO,,,
HPF_RMK,HP_NAME,varchar(80),NO,,,
HPF_RMK,HP_NO,int(3),NO,,,
HPF_RMK,STATE_CODE,varchar(2),YES,,,
HPF_RMK,COUNTRY_CODE,varchar(2),NO,,,
HPF_RMK,TAB_NAME,varchar(30),NO,,,
HPF_RMK,REF_COL_NAME,varchar(30),NO,,,
HPF_RMK,REF_COL_SEQ_NO,int(3),NO,,,
HPF_RMK,REMARK,varchar(300),NO,,,
HPF_SPD_ALT,EFF_DATE,varchar(10),NO,,,
HPF_SPD_ALT,HP_NAME,varchar(80),NO,,,
HPF_SPD_ALT,HP_NO,int(3),NO,,,
HPF_SPD_ALT,STATE_CODE,varchar(2),YES,,,
HPF_SPD_ALT,COUNTRY_CODE,varchar(2),NO,,,
HPF_SPD_ALT,SPEED_RANGE,varchar(7),NO,,,
HPF_SPD_ALT,ALTITUDE,varchar(10),NO,,,
ILS_BASE,EFF_DATE,varchar(10),NO,,,
ILS_BASE,SITE_NO,varchar(9),NO,,,
ILS_BASE,SITE_TYPE_CODE,varchar(1),NO,,,
ILS_BASE,STATE_CODE,varchar(2),YES,,,
ILS_BASE,ARPT_ID,varchar(4),NO,,,
ILS_BASE,CITY,varchar(40),NO,,,
ILS_BASE,COUNTRY_CODE,varchar(2),NO,,,
ILS_BASE,RWY_END_ID,varchar(3),NO,,,
ILS_BASE,ILS_LOC_ID,varchar(6),NO,,,
ILS_BASE,SYSTEM_TYPE_CODE,varchar(2),NO,,,
ILS_BASE,STATE_NAME,varchar(30),YES,,,
ILS_BASE,REGION_CODE,varchar(3),NO,,,
ILS_BASE,RWY_LEN,int(5),NO,,,
ILS_BASE,RWY_WIDTH,int(4),NO,,,
ILS_BASE,CATEGORY,varchar(4),YES,,,
ILS_BASE,OWNER,varchar(40),NO,,,
ILS_BASE,OPERATOR,varchar(40),NO,,,
ILS_BASE,APCH_BEAR,decimal(5,2),NO,,,
ILS_BASE,MAG_VAR,int(3),NO,,,
ILS_BASE,MAG_VAR_HEMIS,varchar(1),NO,,,
ILS_BASE,COMPONENT_STATUS,varchar(30),NO,,,
ILS_BASE,COMPONENT_STATUS_DATE,varchar(10),NO,,,
ILS_BASE,LAT_DEG,int(2),NO,,,
ILS_BASE,LAT_MIN,int(2),NO,,,
ILS_BASE,LAT_SEC,decimal(6,4),NO,,,
ILS_BASE,LAT_HEMIS,varchar(1),NO,,,
ILS_BASE,LAT_DECIMAL,decimal(10,8),NO,,,
ILS_BASE,LONG_DEG,int(3),NO,,,
ILS_BASE,LONG_MIN,int(2),NO,,,
ILS_BASE,LONG_SEC,decimal(6,4),NO,,,
ILS_BASE,LONG_HEMIS,varchar(1),NO,,,
ILS_BASE,LONG_DECIMAL,decimal(11,8),NO,,,
ILS_BASE,LAT_LONG_SOURCE_CODE,varchar(2),YES,,,
ILS_BASE,SITE_ELEVATION,decimal(6,1),YES,,,
ILS_BASE,LOC_FREQ,decimal(6,2),NO,,,
ILS_BASE,BK_COURSE_STATUS_CODE,varchar(1),YES,,,
ILS_DME,EFF_DATE,varchar(10),NO,,,
ILS_DME,SITE_NO,varchar(9),NO,,,
ILS_DME,SITE_TYPE_CODE,varchar(1),NO,,,
ILS_DME,STATE_CODE,varchar(2),YES,,,
ILS_DME,ARPT_ID,varchar(4),NO,,,
ILS_DME,CITY,varchar(40),NO,,,
ILS_DME,COUNTRY_CODE,varchar(2),NO,,,
ILS_DME,RWY_END_ID,varchar(3),NO,,,
ILS_DME,ILS_LOC_ID,varchar(6),NO,,,
ILS_DME,SYSTEM_TYPE_CODE,varchar(2),NO,,,
ILS_DME,COMPONENT_STATUS,varchar(30),NO,,,
ILS_DME,COMPONENT_STATUS_DATE,varchar(10),NO,,,
ILS_DME,LAT_DEG,int(2),NO,,,
ILS_DME,LAT_MIN,int(2),NO,,,
ILS_DME,LAT_SEC,decimal(6,4),NO,,,
ILS_DME,LAT_HEMIS,varchar(1),NO,,,
ILS_DME,LAT_DECIMAL,decimal(10,8),NO,,,
ILS_DME,LONG_DEG,int(3),NO,,,
ILS_DME,LONG_MIN,int(2),NO,,,
ILS_DME,LONG_SEC,decimal(6,4),NO,,,
ILS_DME,LONG_HEMIS,varchar(1),NO,,,
ILS_DME,LONG_DECIMAL,decimal(11,8),NO,,,
ILS_DME,LAT_LONG_SOURCE_CODE,varchar(2),YES,,,
ILS_DME,SITE_ELEVATION,decimal(6,1),YES,,,
ILS_DME,CHANNEL,varchar(4),NO,,,
ILS_GS,EFF_DATE,varchar(10),NO,,,
ILS_GS,SITE_NO,varchar(9),NO,,,
ILS_GS,SITE_TYPE_CODE,varchar(1),NO,,,
ILS_GS,STATE_CODE,varchar(2),YES,,,
ILS_GS,ARPT_ID,varchar(4),NO,,,
ILS_GS,CITY,varchar(40),NO,,,
ILS_GS,COUNTRY_CODE,varchar(2),NO,,,
ILS_GS,RWY_END_ID,varchar(3),NO,,,
ILS_GS,ILS_LOC_ID,varchar(6),NO,,,
ILS_GS,SYSTEM_TYPE_CODE,varchar(2),NO,,,
ILS_GS,COMPONENT_STATUS,varchar(30),NO,,,
ILS_GS,COMPONENT_STATUS_DATE,varchar(10),NO,,,
ILS_GS,LAT_DEG,int(2),NO,,,
ILS_GS,LAT_MIN,int(2),NO,,,
ILS_GS,LAT_SEC,decimal(6,4),NO,,,
ILS_GS,LAT_HEMIS,varchar(1),NO,,,
ILS_GS,LAT_DECIMAL,decimal(10,8),NO,,,
ILS_GS,LONG_DEG,int(3),NO,,,
ILS_GS,LONG_MIN,int(2),NO,,,
ILS_GS,LONG_SEC,decimal(6,4),NO,,,
ILS_GS,LONG_HEMIS,varchar(1),NO,,,
ILS_GS,LONG_DECIMAL,decimal(11,8),NO,,,
ILS_GS,LAT_LONG_SOURCE_CODE,varchar(2),YES,,,
ILS_GS,SITE_ELEVATION,decimal(6,1),YES,,,
ILS_GS,G_S_TYPE_CODE,varchar(2),NO,,,
ILS_GS,G_S_ANGLE,decimal(4,2),NO,,,
ILS_GS,G_S_FREQ,decimal(6,2),NO,,,
ILS_MKR,EFF_DATE,varchar(10),NO,,,
ILS_MKR,SITE_NO,varchar(9),NO,,,
ILS_MKR,SITE_TYPE_CODE,varchar(1),NO,,,
ILS_MKR,STATE_CODE,varchar(2),YES,,,
ILS_MKR,ARPT_ID,varchar(4),NO,,,
ILS_MKR,CITY,varchar(40),NO,,,
ILS_MKR,COUNTRY_CODE,varchar(2),NO,,,
ILS_MKR,RWY_END_ID,varchar(3),NO,,,
ILS_MKR,ILS_LOC_ID,varchar(6),NO,,,
ILS_MKR,SYSTEM_TYPE_CODE,varchar(2),NO,,,
ILS_MKR,ILS_COMP_TYPE_CODE,varchar(3),NO,,,
ILS_MKR,COMPONENT_STATUS,varchar(30),NO,,,
ILS_MKR,COMPONENT_STATUS_DATE,varchar(10),NO,,,
ILS_MKR,LAT_DEG,int(2),NO,,,
ILS_MKR,LAT_MIN,int(2),NO,,,
ILS_MKR,LAT_SEC,decimal(6,4),NO,,,
ILS_MKR,LAT_HEMIS,varchar(1),NO,,,
ILS_MKR,LAT_DECIMAL,decimal(10,8),NO,,,
ILS_MKR,LONG_DEG,int(3),NO,,,
ILS_MKR,LONG_MIN,int(2),NO,,,
ILS_MKR,LONG_SEC,decimal(6,4),NO,,,
ILS_MKR,LONG_HEMIS,varchar(1),NO,,,
ILS_MKR,LONG_DECIMAL,decimal(11,8),NO,,,
ILS_MKR,LAT_LONG_SOURCE_CODE,varchar(2),YES,,,
ILS_MKR,SITE_ELEVATION,decimal(6,1),YES,,,
ILS_MKR,MKR_FAC_TYPE_CODE,varchar(2),NO,,,
ILS_MKR,MARKER_ID_BEACON,varchar(2),YES,,,
ILS_MKR,COMPASS_LOCATOR_NAME,varchar(30),YES,,,
ILS_MKR,FREQ,decimal(5,2),YES,,,
ILS_MKR,NAV_ID,varchar(6),YES,,,
ILS_MKR,NAV_TYPE,varchar(25),YES,,,
ILS_MKR,LOW_POWERED_NDB_STATUS,varchar(30),YES,,,
ILS_RMK,EFF_DATE,varchar(10),NO,,,
ILS_RMK,SITE_NO,varchar(9),NO,,,
ILS_RMK,SITE_TYPE_CODE,varchar(1),NO,,,
ILS_RMK,STATE_CODE,varchar(2),YES,,,
ILS_RMK,ARPT_ID,varchar(4),NO,,,
ILS_RMK,CITY,varchar(40),NO,,,
ILS_RMK,COUNTRY_CODE,varchar(2),NO,,,
ILS_RMK,RWY_END_ID,varchar(3),NO,,,
ILS_RMK,ILS_LOC_ID,varchar(6),NO,,,
ILS_RMK,SYSTEM_TYPE_CODE,varchar(2),NO,,,
ILS_RMK,TAB_NAME,varchar(30),NO,,,
ILS_RMK,ILS_COMP_TYPE_CODE,varchar(3),YES,,,
ILS_RMK,REF_COL_NAME,varchar(30),NO,,,
ILS_RMK,REF_COL_SEQ_NO,int(3),NO,,,
ILS_RMK,REMARK,varchar(300),NO,,,
LID,EFF_DATE,varchar(10),NO,,,
LID,COUNTRY_CODE,varchar(2),NO,,,
LID,LOC_ID,varchar(4),NO,,,
LID,REGION_CODE,varchar(3),YES,,,
LID,STATE_CODE,varchar(2),YES,,,
LID,CITY,varchar(40),NO,,,
LID,LID_GROUP,varchar(30),NO,,,
LID,FAC_TYPE,varchar(30),NO,,,
LID,FAC_NAME,varchar(75),YES,,,
LID,RESP_ARTCC_ID,varchar(4),YES,,,
LID,ARTCC_COMPUTER_ID,varchar(3),YES,,,
LID,FSS_ID,varchar(4),YES,,,
MAA_BASE,EFF_DATE,varchar(10),NO,,,
MAA_BASE,MAA_ID,varchar(6),NO,,,
MAA_BASE,MAA_TYPE_NAME,varchar(20),NO,,,
MAA_BASE,NAV_ID,varchar(4),YES,,,
MAA_BASE,NAV_TYPE,varchar(25),YES,,,
MAA_BASE,NAV_RADIAL,decimal(5,2),YES,,,
MAA_BASE,NAV_DISTANCE,decimal(7,2),YES,,,
MAA_BASE,STATE_CODE,varchar(2),NO,,,
MAA_BASE,CITY,varchar(30),YES,,,
MAA_BASE,LATITUDE,varchar(14),YES,,,
MAA_BASE,LONGITUDE,varchar(15),YES,,,
MAA_BASE,ARPT_IDS,varchar(50),YES,,,
MAA_BASE,NEAREST_ARPT,varchar(4),YES,,,
MAA_BASE,NEAREST_ARPT_DIST,decimal(7,2),YES,,,
MAA_BASE,NEAREST_ARPT_DIR,varchar(2),YES,,,
MAA_BASE,MAA_NAME,varchar(120),YES,,,
MAA_BASE,MAX_ALT,varchar(8),YES,,,
MAA_BASE,MIN_ALT,varchar(8),YES,,,
MAA_BASE,MAA_RADIUS,decimal(4,2),YES,,,
MAA_BASE,DESCRIPTION,varchar(450),YES,,,
MAA_BASE,MAA_USE,varchar(8),YES,,,
MAA_BASE,CHECK_NOTAMS,varchar(50),YES,,,
MAA_BASE,TIME_OF_USE,varchar(300),YES,,,
MAA_BASE,USER_GROUP_NAME,varchar(300),YES,,,
MAA_CON,EFF_DATE,varchar(10),NO,,,
MAA_CON,MAA_ID,varchar(6),NO,,,
MAA_CON,FREQ_SEQ,int(2),NO,,,
MAA_CON,FAC_ID,varchar(4),YES,,,
MAA_CON,FAC_NAME,varchar(30),NO,,,
MAA_CON,COMMERCIAL_FREQ,decimal(7,3),NO,,,
MAA_CON,COMMERCIAL_CHART_FLAG,varchar(1),YES,,,
MAA_CON,MIL_FREQ,decimal(7,3),YES,,,
MAA_CON,MIL_CHART_FLAG,varchar(1),YES,,,
MAA_RMK,EFF_DATE,varchar(10),NO,,,
MAA_RMK,MAA_ID,varchar(6),NO,,,
MAA_RMK,TAB_NAME,varchar(30),NO,,,
MAA_RMK,REF_COL_NAME,varchar(30),NO,,,
MAA_RMK,REF_COL_SEQ_NO,int(3),NO,,,
MAA_RMK,REMARK,varchar(300),NO,,,
MAA_SHP,EFF_DATE,varchar(10),NO,,,
MAA_SHP,MAA_ID,varchar(6),NO,,,
MAA_SHP,POINT_SEQ,int(2),NO,,,
MAA_SHP,LATITUDE,varchar(14),NO,,,
MAA_SHP,LONGITUDE,varchar(15),NO,,,
MIL_OPS,EFF_DATE,varchar(10),NO,,,
MIL_OPS,SITE_NO,varchar(9),NO,,,
MIL_OPS,SITE_TYPE_CODE,varchar(1),NO,,,
MIL_OPS,STATE_CODE,varchar(2),YES,,,
MIL_OPS,ARPT_ID,varchar(4),NO,,,
MIL_OPS,CITY,varchar(40),NO,,,
MIL_OPS,COUNTRY_CODE,varchar(2),NO,,,
MIL_OPS,MIL_OPS_OPER_CODE,varchar(1),YES,,,
MIL_OPS,MIL_OPS_CALL,varchar(26),YES,,,
MIL_OPS,MIL_OPS_HRS,varchar(200),YES,,,
MIL_OPS,AMCP_HRS,varchar(200),YES,,,
MIL_OPS,PMSV_HRS,varchar(200),YES,,,
MIL_OPS,REMARK,varchar(1500),YES,,,
MTR_AGY,EFF_DATE,varchar(10),NO,,,
MTR_AGY,ROUTE_TYPE_CODE,varchar(2),NO,,,
MTR_AGY,ROUTE_ID,varchar(5),NO,,,
MTR_AGY,ARTCC,varchar(80),YES,,,
MTR_AGY,AGENCY_TYPE,varchar(2),NO,,,
MTR_AGY,AGENCY_NAME,varchar(30),NO,,,
MTR_AGY,STATION,varchar(30),YES,,,
MTR_AGY,ADDRESS,varchar(35),YES,,,
MTR_AGY,CITY,varchar(30),YES,,,
MTR_AGY,STATE_CODE,varchar(2),YES,,,
MTR_AGY,ZIP_CODE,varchar(10),YES,,,
MTR_AGY,COMMERCIAL_NO,varchar(40),YES,,,
MTR_AGY,DSN_NO,varchar(40),YES,,,
MTR_AGY,HOURS,varchar(175),YES,,,
MTR_BASE,EFF_DATE,varchar(10),NO,,,
MTR_BASE,ROUTE_TYPE_CODE,varchar(2),NO,,,
MTR_BASE,ROUTE_ID,varchar(5),NO,,,
MTR_BASE,ARTCC,varchar(80),YES,,,
MTR_BASE,FSS,varchar(160),YES,,,
MTR_BASE,TIME_OF_USE,varchar(175),YES,,,
MTR_PT,EFF_DATE,varchar(10),NO,,,
MTR_PT,ROUTE_TYPE_CODE,varchar(2),NO,,,
MTR_PT,ROUTE_ID,varchar(5),NO,,,
MTR_PT,ARTCC,varchar(80),YES,,,
MTR_PT,ROUTE_PT_SEQ,int(3),NO,,,
MTR_PT,ROUTE_PT_ID,varchar(4),NO,,,
MTR_PT,NEXT_ROUTE_PT_ID,varchar(4),YES,,,
MTR_PT,SEGMENT_TEXT,varchar(228),YES,,,
MTR_PT,LAT_DEG,int(2),NO,,,
MTR_PT,LAT_MIN,int(2),NO,,,
MTR_PT,LAT_SEC,decimal(6,4),NO,,,
MTR_PT,LAT_HEMIS,varchar(1),NO,,,
MTR_PT,LAT_DECIMAL,decimal(10,8),NO,,,
MTR_PT,LONG_DEG,int(3),NO,,,
MTR_PT,LONG_MIN,int(2),NO,,,
MTR_PT,LONG_SEC,decimal(6,4),NO,,,
MTR_PT,LONG_HEMIS,varchar(1),NO,,,
MTR_PT,LONG_DECIMAL,decimal(11,8),NO,,,
MTR_PT,NAV_ID,varchar(4),YES,,,
MTR_PT,NAVAID_BEARING,int(3),YES,,,
MTR_PT,NAVAID_DIST,int(4),YES,,,
MTR_SOP,EFF_DATE,varchar(10),NO,,,
MTR_SOP,ROUTE_TYPE_CODE,varchar(2),NO,,,
MTR_SOP,ROUTE_ID,varchar(5),NO,,,
MTR_SOP,ARTCC,varchar(80),YES,,,
MTR_SOP,SOP_SEQ_NO,int(3),NO,,,
MTR_SOP,SOP_TEXT,varchar(100),NO,,,
MTR_TERR,EFF_DATE,varchar(10),NO,,,
MTR_TERR,ROUTE_TYPE_CODE,varchar(2),NO,,,
MTR_TERR,ROUTE_ID,varchar(5),NO,,,
MTR_TERR,ARTCC,varchar(80),YES,,,
MTR_TERR,TERRAIN_SEQ_NO,int(3),NO,,,
MTR_TERR,TERRAIN_TEXT,varchar(100),NO,,,
MTR_WDTH,EFF_DATE,varchar(10),NO,,,
MTR_WDTH,ROUTE_TYPE_CODE,varchar(2),NO,,,
MTR_WDTH,ROUTE_ID,varchar(5),NO,,,
MTR_WDTH,ARTCC,varchar(80),YES,,,
MTR_WDTH,WIDTH_SEQ_NO,int(3),NO,,,
MTR_WDTH,WIDTH_TEXT,varchar(100),NO,,,
NAV_BASE,EFF_DATE,varchar(10),NO,,,
NAV_BASE,NAV_ID,varchar(4),NO,,,
NAV_BASE,NAV_TYPE,varchar(25),NO,,,
NAV_BASE,STATE_CODE,varchar(2),YES,,,
NAV_BASE,CITY,varchar(40),NO,,,
NAV_BASE,COUNTRY_CODE,varchar(2),NO,,,
NAV_BASE,NAV_STATUS,varchar(30),NO,,,
NAV_BASE,NAME,varchar(30),NO,,,
NAV_BASE,STATE_NAME,varchar(30),YES,,,
NAV_BASE,REGION_CODE,varchar(3),YES,,,
NAV_BASE,COUNTRY_NAME,varchar(30),NO,,,
NAV_BASE,FAN_MARKER,varchar(30),YES,,,
NAV_BASE,OWNER,varchar(50),YES,,,
NAV_BASE,OPERATOR,varchar(50),YES,,,
NAV_BASE,NAS_USE_FLAG,varchar(1),NO,,,
NAV_BASE,PUBLIC_USE_FLAG,varchar(1),NO,,,
NAV_BASE,NDB_CLASS_CODE,varchar(11),YES,,,
NAV_BASE,OPER_HOURS,varchar(11),YES,,,
NAV_BASE,HIGH_ALT_ARTCC_ID,varchar(4),YES,,,
NAV_BASE,HIGH_ARTCC_NAME,varchar(30),YES,,,
NAV_BASE,LOW_ALT_ARTCC_ID,varchar(4),YES,,,
NAV_BASE,LOW_ARTCC_NAME,varchar(30),YES,,,
NAV_BASE,LAT_DEG,int(2),NO,,,
NAV_BASE,LAT_MIN,int(2),NO,,,
NAV_BASE,LAT_SEC,decimal(6,4),NO,,,
NAV_BASE,LAT_HEMIS,varchar(1),NO,,,
NAV_BASE,LAT_DECIMAL,decimal(10,8),NO,,,
NAV_BASE,LONG_DEG,int(3),NO,,,
NAV_BASE,LONG_MIN,int(2),NO,,,
NAV_BASE,LONG_SEC,decimal(6,4),NO,,,
NAV_BASE,LONG_HEMIS,varchar(1),NO,,,
NAV_BASE,LONG_DECIMAL,decimal(11,8),NO,,,
NAV_BASE,SURVEY_ACCURACY_CODE,varchar(1),YES,,,
NAV_BASE,TACAN_DME_STATUS,varchar(30),YES,,,
NAV_BASE,TACAN_DME_LAT_DEG,int(2),YES,,,
NAV_BASE,TACAN_DME_LAT_MIN,int(2),YES,,,
NAV_BASE,TACAN_DME_LAT_SEC,decimal(6,4),YES,,,
NAV_BASE,TACAN_DME_LAT_HEMIS,varchar(1),YES,,,
NAV_BASE,TACAN_DME_LAT_DECIMAL,decimal(10,8),YES,,,
NAV_BASE,TACAN_DME_LONG_DEG,int(3),YES,,,
NAV_BASE,TACAN_DME_LONG_MIN,int(2),YES,,,
NAV_BASE,TACAN_DME_LONG_SEC,decimal(6,4),YES,,,
NAV_BASE,TACAN_DME_LONG_HEMIS,varchar(1),YES,,,
NAV_BASE,TACAN_DME_LONG_DECIMAL,decimal(11,8),YES,,,
NAV_BASE,ELEV,decimal(6,1),YES,,,
NAV_BASE,MAG_VARN,int(2),YES,,,
NAV_BASE,MAG_VARN_HEMIS,varchar(1),YES,,,
NAV_BASE,MAG_VARN_YEAR,int(4),YES,,,
NAV_BASE,SIMUL_VOICE_FLAG,varchar(1),YES,,,
NAV_BASE,PWR_OUTPUT,int(4),YES,,,
